"ID","LABEL","ADDRESS","PHONE","SCHOOLNO","WWW","EMAIL","FAX","SCHOOL_TYPE","BUILDDATE","ELDERATE","GIS_X","GIS_Y"
"169","Švelnukas","Žalgirio g. 115, Vilnius","276 6342,","190019656",,"rastine@svelnukas.vilnius.lm.lt",,"Valstybinis darželis","1960-01-01","Šnipiškių","582485","6063923"
"170","Boružėlė","Latvių g. 40, Vilnius","275 3219, 275 0545,","190021721",,"rastine@boruzele.vilnius.lm.lt",,"Valstybinis darželis","1111-11-11","Žvėryno","580336","6062719"
"171","Žaliakalnio","Pergalės g. 22, LT-11203 Vilnius","267 1626,","191713231",,"rastine@zaliakalnio.vilnius.lm.lt","2672508, 2672508","Valstybinis darželis","2013-11-01","Naujosios Vilnios","591084","6062066"
"181","Volungė","Volungės g. 10, Vilnius","271 0582,","191713046",,"rastine@volunge.vilnius.lm.lt",,"Valstybinis darželis","1961-01-01","Antakalnio","585007","6063735"
"186","Giliukas","Ozo g. 37","270 5075","302716948",,"rastine@giliukas.vilnius.lm.lt","---","Valstybinis darželis","2012-03-01","Fabijoniškių","580073","6063931"
"188","Lazdynų vid. m-kla","Liudvinavo g. 128, Vilnius","852445158(m-la), 852641910(darželis)","190005489",,"rastine@lazdynu.vilnius.lm.lt","865081026, darbo 864563207","Valstybinis darželis","1968-06-01","Lazdynų","572930","6055966"
"189","VĮ Mažasis Trinapolis mok. 550 Lt.","Trinapolio g. 11","867089392","15",,"info@mazasistrinapolis.lt",,"Privatus darželis","2012-10-17","Visos seniūnijos","583013","6066065"
"273","Santariškių","Santariškių g.","2112335","0",,"rastine@santariskiu.vilnius.lm.lt",,"Valstybinis darželis","2015-01-12","Verkių","0","0"
"280","Vilnios pagrindinė mokykla","Palydovų g. 29a","2672985","1",,"administracija@v3im.viko.lt","2672985","Valstybinis darželis","1961-04-01","Naujosios Vilnios","0","0"
"283","„Atžalyno” mokykla-darželis","Genių g. 25","2671 934","191665861",,"direktore@atzalyno.vilnius.lm.lt",,"Valstybinis darželis","2014-09-01","Naujosios Vilnios","0","0"
"311","Naujininkų mokykla","Šaltkalvių g. 32","(8 5) 216 6366","190007344",,"rastine@naujininku.vilnius.lm.lt","(8 5) 216 6362","Valstybinis darželis","1996-10-16","Naujininkų","0","0"
"315","VMSA testuojamas darželis","Konstitucijos pr. 3, Vilnius","1","1",,,,"Valstybinis darželis","2009-10-09","Šnipiškių","0","0"
"316","VMSA testuojamas pensionas","Baltasis Skersgatvis 3, Vilnius 01207","2121578","190997946","www.dcsviesa.lt","dcsviesa@takas.lt","2122172","Pensionas","1992-09-22","Senamiesčio","0","0"
"317","Dienos centras šviesa","Baltasis Skersgatvis 3, Vilnius 01207","2121578","190997946","www.dcsviesa.lt","dcsviesa@takas.lt","2122172","Pensionas","1992-06-24","Senamiesčio","0","0"
"324","Baltupių progimnazija","Didlaukio g. 23","(8-5)2778345","190000894",,"rastine@baltupiu.vilnius.lm.lt","(8-5)2778345","Valstybinis darželis","1979-12-16","Verkių","0","0"
"327","Ąžuolas","Žirmūnų g. 32","2 11 2074","190020214",,"rastine@azuolas.vilnius.lm.lt",,"Valstybinis darželis","1986-10-26","Žirmūnų","0","0"
"333","_Pranciškaus Skorinos gimnazija","Antakalnio g. 108, Vilnius","-","191722390",,"rastine@skorinos.vilnius.lm.lt",,"Valstybinis darželis","1960-01-01","Visos seniūnijos","0","0"
"337","_Vilniaus Salininkų gimnazija","VAIKŲ G. 16","-","191317118",,"-",,"Valstybinis darželis","1960-01-01","Naujininkų","0","0"
"338","_Vilniaus Spindulio pagrindinė mokykla","R. Jankausko 17","-","190006242",,"rastine@spindulio.vilnius.lm.lt",,"Valstybinis darželis","1960-01-01","Naujosios Vilnios","0","0"
